name,email,password,divisi,role
"Ir. Padma Puspita, S.Pt",pranawa96@gmail.com,)^4Fau8jEN,Cyber Security,ADMIN
R.A. Diana Uyainah,maya45@gmail.com,c#BwHsPE!5,Web Development,USER
"T. Prasetya Hutasoit, M.Farm",pratamaradit@gmail.com,%Sg$3Rb797,ITNSA,ADMIN
R. Kasiyah Marbun,eka00@gmail.com,Tz04Fdkyg+,Web Development,USER
Karsana Prabowo,sitorussaiful@gmail.com,W9W76VteC(,ITNSA,USER
"Bella Purnawati, M.Farm",putri09@gmail.com,lr$fAMmf&3,Web Development,USER
Ega Hardiansyah,yhabibi@gmail.com,LK)#+6JgDe,Web Development,USER
"T. Irfan Sinaga, M.Ak",suryonomursinin@gmail.com,O1PQRmOk^s,Cyber Security,USER
Balidin Hutasoit,rahimahteddy@gmail.com,)w2VOLAdc#,ITNSA,ADMIN
"Mila Hidayanto, M.Ak",edisonhidayanto@gmail.com,$_3^C8Ok0&,ITNSA,ADMIN
Dwi Wibisono,adinata68@gmail.com,!GM7GCpa(M,Cyber Security,ADMIN
Ade Sirait,pratiwimala@gmail.com,m)2JpajOa1,ITNSA,ADMIN
"R.M. Harsana Saptono, S.Gz",usiregar@gmail.com,SnUJHqYm!2,ITNSA,ADMIN
"Zulaikha Nurdiyanti, S.E.I",mumpuni54@gmail.com,&0SQoa@uj&,Web Development,ADMIN
KH. Harjo Habibi,mustofafirmansyah@gmail.com,fJ6R1_gj%!,Web Development,USER
"Sutan Koko Suwarno, S.I.Kom",puti61@gmail.com,)3LJz9C#_7,Cyber Security,ADMIN
Ir. Citra Wijayanti,pkuswoyo@gmail.com,#Wl8SbPs80,Web Development,USER
R.A. Rahmi Fujiati,winarsihghani@gmail.com,^YQi@H795p,Web Development,ADMIN
Cut Najwa Haryanto,suci46@gmail.com,8S!F(wyv&Q,Web Development,USER
"Dr. Elisa Santoso, M.Ak",indra81@gmail.com,axW6Gcs4%Z,ITNSA,ADMIN
Lintang Saragih,ella44@gmail.com,+5cD^RXnMK,Cyber Security,USER
"Bella Nasyiah, S.T.",umar71@gmail.com,*SM1bIiL%1,Web Development,USER
Kiandra Laksita,hutasoitkambali@gmail.com,PsMtgohz$6,ITNSA,ADMIN
Ika Dabukke,psihotang@gmail.com,Qm#C6U7oJ7,Web Development,ADMIN
Tira Yuliarti,sakurasitompul@gmail.com,)*QT1g*p4z,Cyber Security,USER
"Puti Agustina, M.Ak",hidayantounjani@gmail.com,Ea9+_%Dm^3,ITNSA,ADMIN
Mitra Yuliarti,keishawibowo@gmail.com,S&qD#La8sL,Web Development,ADMIN
Zulaikha Nuraini,tampubolongambira@gmail.com,&7fHt_D8pR,ITNSA,USER
Rahayu Mayasari,winarnoulva@gmail.com,$*0IM$MtDt,Cyber Security,ADMIN
Vanya Simbolon,hnarpati@gmail.com,x56GTQzG_U,Web Development,USER
Humaira Wacana,lailasariibrahim@gmail.com,#8fKdk3YLi,Cyber Security,USER
"Anggabaya Permata, S.IP",pradiptayusuf@gmail.com,^r1PXQw16M,Web Development,ADMIN
"dr. Fitriani Permata, S.Pt",raharjaanggraini@gmail.com,^79NeM135N,Web Development,USER
Reksa Pradipta,lala48@gmail.com,)PLSYccyW8,Web Development,ADMIN
Prayogo Waskita,rangga26@gmail.com,^K!6rDgn&Q,Web Development,ADMIN
Prayoga Rajata,wadilestari@gmail.com,K6L%wl$C*&,ITNSA,ADMIN
Empluk Zulkarnain,prabowobanawa@gmail.com,&_Q7iAb@hH,Web Development,USER
"Tasdik Maryadi, S.T.",wasitaluhung@gmail.com,^6PYcUDpA4,Web Development,USER
"Kurnia Winarsih, S.Gz",galionosantoso@gmail.com,&z51FkOt0y,ITNSA,USER
Hj. Suci Nurdiyanti,ksiregar@gmail.com,Sux86CQy*9,Web Development,ADMIN
Putu Permata,nabila80@gmail.com,0q6Rg+tu@h,ITNSA,USER
Maida Hastuti,uyainahnasrullah@gmail.com,nC15AKclK+,Web Development,USER
dr. Ella Sihotang,nurdiyantijumari@gmail.com,%39)qZgzwM,ITNSA,ADMIN
"R. Jumadi Mahendra, S.Sos",donosimbolon@gmail.com,eA4zTe2M#9,ITNSA,ADMIN
Sutan Bakijan Prasasta,vwidiastuti@gmail.com,++t44K*x(9,Web Development,ADMIN
"Galih Pudjiastuti, S.IP",mahesa60@gmail.com,&I@8lEx5_P,Cyber Security,USER
"Prayogo Wulandari, S.E.",fdamanik@gmail.com,ss4FnVx*b+,Cyber Security,ADMIN
Salimah Melani,usantoso@gmail.com,$PX90c1o6o,Web Development,USER
Soleh Nashiruddin,purwantomanullang@gmail.com,_88PiVaxGq,Web Development,USER
"Oliva Wacana, S.Pd",firgantorobakiman@gmail.com,(c$*DsC0h1,Cyber Security,ADMIN
Viktor Padmasari,khakim@gmail.com,^wF5qDxC82,ITNSA,USER
Martaka Haryanto,rpurwanti@gmail.com,Q*d5FnmHgT,Cyber Security,ADMIN
Prayitna Pratiwi,zastuti@gmail.com,7rxh*5V76@,Web Development,USER
Nilam Kusumo,aurora16@gmail.com,ILOo%6AkU0,ITNSA,ADMIN
"Jabal Wasita, S.Pd",egawulandari@gmail.com,#0tLBUF22r,ITNSA,USER
Najwa Laksita,raditya24@gmail.com,I$9UpFv&#m,Cyber Security,ADMIN
Zelda Prasetya,balangga23@gmail.com,(6C0VMk(Kj,Web Development,ADMIN
Drs. Wani Utama,mulyonorahimah@gmail.com,_5OZ5HiIkg,Web Development,ADMIN
Darmaji Lestari,lestarimumpuni@gmail.com,Ks4X%Lhv^#,ITNSA,USER
"KH. Ikhsan Sihombing, M.Kom.",harjayalatupono@gmail.com,(snadaRw0R,ITNSA,USER
Maida Lestari,emong80@gmail.com,^9oYC_nuWs,Web Development,ADMIN
Hasna Dabukke,ssaptono@gmail.com,g+k67NhE6A,Cyber Security,USER
Danuja Putra,patriciahassanah@gmail.com,#UZR6dnQD8,Web Development,ADMIN
Hafshah Lestari,eprastuti@gmail.com,ER6q$BCf_e,Cyber Security,ADMIN
"Daru Oktaviani, S.H.",praba95@gmail.com,@7Rjvd*c!),Cyber Security,ADMIN
Endah Hidayat,emulyani@gmail.com,!POAAAJi*0,ITNSA,ADMIN
"T. Ozy Halimah, S.Farm",hamimahabibi@gmail.com,^YRFen5cd8,Cyber Security,ADMIN
Nabila Siregar,kiandraramadan@gmail.com,2(XzDb0Z%^,Web Development,USER
"Panca Mulyani, S.Gz",dongoranasmuni@gmail.com,!Mh7xJd4AA,Web Development,ADMIN
Lega Rajata,maria68@gmail.com,_b4xY^ks$+,ITNSA,USER
dr. Gasti Gunawan,samosirluluh@gmail.com,Ln+Oc5JuQ^,ITNSA,USER
Kurnia Wulandari,yuliantialmira@gmail.com,Udua7AGwu#,Cyber Security,USER
"Devi Mansur, S.Pt",pranawawidiastuti@gmail.com,$wJjfAngH7,Cyber Security,USER
Tantri Hutapea,laila36@gmail.com,btpqB$Wy_0,ITNSA,USER
Gambira Sihombing,fsuwarno@gmail.com,76_1Ax2bM+,Cyber Security,USER
Bakiadi Samosir,bahuraksa19@gmail.com,#JJSG!#u0x,ITNSA,ADMIN
dr. Maida Kusmawati,narpatiajimin@gmail.com,*xQ4vR(rFl,Cyber Security,USER
Mila Sirait,gmangunsong@gmail.com,Ce(9uMkbf!,Cyber Security,ADMIN
Rini Saragih,daliman16@gmail.com,lW0bEJHy!+,ITNSA,USER
"Paulin Rahayu, M.Ak",paiman94@gmail.com,!%9+Zoq$iP,ITNSA,ADMIN
Ira Haryanti,yuniarartanto@gmail.com,3*4CAgyDLE,Web Development,ADMIN
Pia Kusmawati,nurainimila@gmail.com,*o+1K7dWrH,ITNSA,ADMIN
Sutan Hairyanto Latupono,jayeng48@gmail.com,)6UehEDDhq,Web Development,ADMIN
dr. Latika Prastuti,vyolanda@gmail.com,9DT4RAt5*e,Web Development,ADMIN
Carla Januar,hnurdiyanti@gmail.com,_KMcX9Smt9,Cyber Security,ADMIN
Nardi Sihombing,parmanastuti@gmail.com,x_W1(qZu7!,Cyber Security,USER
Sutan Hardi Nababan,lulutirawan@gmail.com,jq9eCMvE!#,Web Development,USER
Ir. Rahmi Wijaya,oskararyani@gmail.com,&V#)9GtW8v,Web Development,ADMIN
Gaduh Haryanto,nurdiyantipandu@gmail.com,6f+nN)fB&&,ITNSA,ADMIN
"Syahrini Prastuti, S.Psi",xusamah@gmail.com,#7&_D#Styx,Web Development,ADMIN
Dacin Mansur,anggriawanjessica@gmail.com,)OYvPoPsx6,Cyber Security,USER
"Lala Halim, S.Psi",qpranowo@gmail.com,ds)2KkkL_I,Cyber Security,USER
"R.M. Hartana Hutapea, M.Pd",dprasetya@gmail.com,(42UgccxPl,ITNSA,USER
Vicky Hassanah,irsad27@gmail.com,psZ6Fd(v!u,ITNSA,ADMIN
"Oliva Hidayanto, S.Farm",rmaryati@gmail.com,@r^n87Lz*N,ITNSA,USER
Harimurti Kusumo,flaksmiwati@gmail.com,mSvUTnw1$1,Cyber Security,ADMIN
Drs. Upik Firmansyah,murtisihombing@gmail.com,&FE*p0wu83,Cyber Security,ADMIN
"Puti Ilsa Maheswara, S.Ked",kamariaardianto@gmail.com,&M8PKz(ooh,Cyber Security,USER
Anggabaya Najmudin,maulanatania@gmail.com,+WH$ms6c5O,Web Development,USER
Olga Simanjuntak,putri41@gmail.com,$6D1Bqo3O$,ITNSA,USER
Zaenab Dabukke,dabukkeibrani@gmail.com,kE(qg1Qfhk,Cyber Security,USER
"H. Radit Sirait, S.Kom",firgantorodirja@gmail.com,w)fV1hVbv_,Web Development,USER
Nadia Habibi,banawiputra@gmail.com,gS%)4Lb5rG,ITNSA,USER
"Dr. Widya Sitompul, M.TI.",tastuti@gmail.com,0CUuv$O1)j,Cyber Security,USER
Febi Hakim,caket80@gmail.com,m_LGm4Wk_8,ITNSA,ADMIN
